100 
 0 15237 20268 9936 22707 3573 13023 3825 12816 6741 8118 13923 22986 21402 9135 11331 9162 10503 7326 12645 7965 11970 7938 10854 10746 13599 14148 3744 18729 19305 7983 7110 23769 16236 14184 10557 22662 11025 18918 12222 24282 5949 20259 15012 8307 19035 3861 22707 3978 15363 10161 22266 9090 12546 15372 7155 12240 6462 9279 10368 9387 11340 2592 12294 11250 11574 5337 14562 11169 12483 23715 7218 13779 8478 5652 23841 9432 21978 9072 7767 10980 19674 15444 7992 15606 13572 11295 10971 7254 5796 6777 2727 3717 12231 21879 21393 7335 7047 13212 23787
 15237 0 15372 21627 10674 18513 12528 14580 12087 21978 21231 14454 8730 14958 22014 25479 22095 25533 20790 14427 22518 26073 17289 26055 8037 24039 15633 12267 13509 10719 14328 19494 9621 13059 17037 25722 10287 26253 8649 3033 17856 13824 16515 2313 19116 14724 17397 14364 18846 3744 10323 11718 23193 2979 13761 17127 12600 10449 23634 16659 9054 16227 17811 2988 22743 23562 9927 6399 5157 25983 17118 22131 4158 22896 18684 9405 14976 11358 23823 15030 7587 5130 13617 23229 7488 15768 10971 25254 12780 20718 17802 15921 12600 26667 7146 10809 18837 17199 28404 16479
 20268 15372 0 29997 9666 23607 7299 22518 7461 25146 20385 7038 13797 1989 20520 31338 20637 29574 27594 8406 23238 31968 15327 29214 10656 33453 7614 16704 1926 5328 24930 18783 13797 4032 8847 27423 10197 28944 7659 15579 4059 23328 1539 13068 17064 1251 19251 4563 24030 11637 10242 7407 29214 16452 5103 26253 8127 14148 23634 12402 11475 11052 22266 14859 31320 31761 16848 9189 12816 32679 3609 23760 11583 23247 25830 14535 11997 7497 28737 25308 10737 13779 4977 26217 7929 8343 9009 30915 23283 25578 16965 22635 16614 31986 14697 7434 27162 16074 29835 4086
 9936 21627 29997 0 31023 7398 22842 7659 22608 9270 15255 23841 30258 30978 16146 5625 16101 8361 3348 22572 13005 5949 17352 9909 19836 3753 24075 13302 28350 28368 7596 15273 31131 25983 24066 12024 30852 10710 27549 18783 33939 7812 30087 22311 17055 28782 12555 32004 7065 23121 19764 31032 4482 18648 25218 4500 22086 15867 14157 20115 18684 21177 8766 19179 1323 1944 13518 23175 19197 4986 33336 11637 21744 13572 4293 30996 19332 30708 6462 6822 19944 26685 25272 9549 24417 23499 20988 5796 8928 6723 15840 7371 13419 7065 28764 30096 2916 16389 13491 33309
 22707 10674 9666 31023 0 26271 12816 23454 12600 28962 25947 13977 4518 8019 26406 33930 26523 33129 29493 14904 28215 34560 20961 33228 12096 33885 15084 19026 8757 4977 24309 24147 4275 10602 16659 32121 621 33201 3933 12717 9711 23346 11205 9063 22932 9963 23328 5868 26676 7983 13482 2331 31644 13212 12087 26658 13500 16362 28998 18792 13554 17685 25200 12150 32256 32949 17739 8154 11853 34821 9063 28305 9279 28413 27441 5076 17622 2178 31779 24912 11790 6336 11871 30195 7245 15642 12978 33615 22644 28494 22212 24309 19161 34911 6039 2277 28116 21366 34767 8046
 3573 18513 23607 7398 26271 0 16308 4806 16146 3924 8163 17028 26469 24822 9135 7803 9108 7038 4266 15696 6633 8433 9999 7587 14310 11151 17100 7299 22122 22851 8496 7929 27261 19575 16920 7893 26226 7902 22491 15480 27639 6876 23490 18459 9666 22356 5166 26199 423 18864 13626 25830 5616 15705 18612 6282 15498 10017 7974 12861 12942 14004 1413 15624 8640 8730 8766 18126 14679 9072 27099 5436 17307 7227 3366 27306 12249 25551 5508 7974 14544 23103 18702 5049 19179 16470 14706 7425 8487 2241 8451 2961 7236 8658 25299 24957 5490 9027 10386 27225
 13023 12528 7299 22842 12816 16308 0 15525 450 17901 13599 1944 15381 8667 13905 24039 14022 22329 20340 2178 16254 24660 8478 22032 5004 26379 3114 9558 5967 8055 18369 11880 15804 3303 4581 20394 13086 21807 9054 11331 11349 16596 7245 10485 10386 6048 11997 10485 16731 9468 3447 11367 21915 12258 2376 19305 837 7200 16803 5994 5058 4878 14967 10683 24174 24570 10179 6669 8055 25380 10845 16659 8415 16326 18630 16299 5040 11214 21447 18639 5346 13581 2430 19008 6426 3321 2142 23616 16803 18279 9981 15471 9423 24696 15363 10764 20070 9090 22896 11079
 3825 14580 22518 7659 23454 4806 15525 0 15237 8730 11763 16731 22986 23400 12789 10899 12798 11313 6219 15561 11052 11493 11655 12159 12195 10944 17145 6039 20817 20718 4185 10899 23832 18540 17406 12690 23310 12573 19917 11601 26406 2232 22716 14949 12123 21321 7650 24363 4977 15633 12285 23391 8622 11637 17901 3789 14823 8370 12411 13851 11097 14679 4986 11889 8946 9549 5859 15534 11601 11484 25785 10026 14193 11619 4113 23769 12708 23067 9432 3951 12294 19476 17937 9828 16758 16650 13554 10692 3744 6651 10584 1854 6273 12114 21627 22464 4743 10800 15156 25713
 12816 12087 7461 22608 12600 16146 450 15237 0 17829 13671 2394 15066 8748 14004 23895 14121 22239 20142 2529 16272 24516 8559 21978 4554 26118 3555 9306 6039 7902 18027 11925 15507 3429 5004 20394 12852 21771 8793 10881 11493 16272 7488 10053 10485 6219 11925 10476 16569 9054 3078 11223 21753 11808 2682 19017 900 6894 16848 6192 4653 5130 14805 10233 23931 24345 9828 6273 7605 25209 10971 16632 7974 16362 18405 15984 5130 11052 21321 18315 4896 13203 2700 18954 6084 3735 1755 23481 16452 18144 10017 15237 9189 24579 15012 10584 19809 9126 22914 11160
 6741 21978 25146 9270 28962 3924 17901 8730 17829 0 6489 18225 29583 26568 7218 6930 7155 4437 5976 16839 3780 7470 10233 4266 16875 12744 18027 10062 23868 25137 12294 7164 30339 21204 17505 3969 28980 4302 25083 18963 29196 10782 24804 21690 9153 23886 5904 28224 3789 21933 15750 28278 5553 19278 20043 9711 17064 12618 4887 13329 15417 14634 4185 19026 10233 9918 12069 20835 17757 8730 28728 2430 20331 4329 6408 30456 13230 28017 4086 11718 17181 26343 20169 1260 21735 17334 16632 6417 12393 2700 8505 6885 9864 7128 28557 27450 8406 9324 6534 28980
 8118 21231 20385 15255 25947 8163 13599 11763 13671 6489 0 13347 27504 22050 1017 13392 1035 10449 11916 12006 3141 13905 5121 9540 14328 18918 12843 9234 19431 21519 15939 1818 28143 16731 11961 7236 26100 9045 22023 18477 24345 13986 19764 20277 3330 19170 4365 24057 8379 20088 12528 24813 12006 19062 15363 14328 12798 10800 3249 7992 12888 9351 7128 18288 16371 16209 11925 18243 16272 15219 23985 4203 18495 2961 11520 28422 8559 24615 10557 15606 14742 24714 15525 7029 18801 12114 12978 12870 15363 8586 3735 10152 8838 13419 26865 24111 13644 4590 9477 24417
