76 
 0 135 207 234 297 144 360 360 333 432 486 288 378 477 360 126 225 324 432 405 216 90 117 234 378 279 315 126 270 189 495 279 72 297 387 306 351 459 351 261 99 99 63 234 261 315 261 234 171 315 162 324 432 441 441 144 387 378 576 414 189 72 72 162 504 549 270 171 297 414 369 360 45 162 207 225
 135 0 216 117 180 81 252 243 306 360 387 225 252 360 234 162 162 360 306 288 135 144 225 306 378 189 189 90 144 63 450 270 90 180 279 216 234 369 315 225 234 216 189 243 135 198 162 117 243 333 135 198 324 306 459 270 261 306 459 324 180 72 144 270 414 459 162 63 234 315 279 306 81 63 108 135
 207 216 0 234 378 144 261 306 135 252 351 135 378 387 414 81 108 144 369 495 351 288 180 126 171 180 324 288 324 261 297 72 153 261 306 432 441 297 153 90 261 288 234 27 297 270 378 324 99 117 90 306 324 414 243 225 432 216 477 531 378 243 135 360 342 405 216 189 450 522 495 189 198 279 189 180
 234 117 234 0 162 108 144 126 279 279 288 171 153 252 180 216 135 378 189 270 198 261 315 351 360 108 90 189 99 81 387 261 180 63 162 243 225 279 261 189 342 333 297 243 63 81 189 126 297 333 144 81 216 207 441 360 198 225 342 324 270 189 225 378 315 351 63 63 279 306 297 243 189 144 45 63
 297 180 378 162 0 234 270 225 441 432 405 333 153 342 72 342 297 522 261 117 117 270 405 477 522 270 126 180 63 117 549 423 270 189 270 90 63 423 423 351 387 360 351 396 99 198 63 63 423 486 288 162 333 216 603 441 108 387 414 162 216 225 324 387 450 468 216 189 153 144 144 405 252 135 207 225
 144 81 144 108 234 0 207 225 234 297 342 153 261 333 279 108 90 297 288 351 216 198 207 252 306 126 198 162 189 117 378 198 81 162 243 288 297 315 234 144 243 243 207 162 153 180 225 180 189 252 54 189 288 315 387 252 297 243 432 387 252 126 126 306 360 405 126 45 306 378 351 234 108 144 72 81
 360 252 261 144 270 207 0 63 234 171 144 135 171 126 261 288 162 369 108 351 333 396 405 396 324 90 153 333 216 225 288 252 288 90 45 360 324 144 198 180 450 450 414 261 180 72 315 261 360 324 216 117 81 171 405 459 243 126 216 432 414 324 324 513 180 207 81 189 414 405 414 162 315 288 144 126
 360 243 306 126 225 225 63 0 288 234 180 189 108 126 198 315 198 423 72 297 306 387 423 432 378 126 99 315 171 198 351 306 297 63 45 315 270 198 261 225 459 459 423 306 144 45 270 225 396 369 243 63 108 117 459 477 189 189 216 378 387 315 342 513 225 243 90 189 369 351 360 225 315 261 153 144
 333 306 135 279 441 234 234 288 0 144 270 108 387 324 450 216 153 153 342 540 441 414 306 225 90 180 342 396 378 333 162 63 270 279 270 504 504 198 36 90 396 414 369 108 342 270 450 396 225 99 180 315 261 405 171 351 450 126 396 603 486 351 270 495 234 306 225 261 540 585 567 81 315 369 234 216
 432 360 252 279 432 297 171 234 144 0 135 144 342 216 423 324 207 297 252 522 477 495 432 360 207 180 315 450 378 360 117 198 360 252 198 522 495 63 108 171 504 522 477 234 333 234 468 414 360 243 261 279 153 333 270 477 414 54 270 594 540 423 369 594 99 162 225 297 567 576 576 72 396 414 261 234
